Population_ID,Region,Latitude,Longitude,Sample_size,HI_nDNA,HI_mtDNA
I_1,Isen,48.2026,12.0825,2,1,1
I_4,Isen,48.2067,12.0822,13,1,1
I_11,Isen,48.2161,12.083,4,1,1
I_25,Isen,48.2142,12.0717,13,1,1
I_57,Isen,48.1545,12.1175,21,0.3,0.43
I_71,Isen,48.18989095,11.95518924,8,0,0
I_86,Isen,48.2069,12.0751,13,1,1
I_85,Isen,48.2252,12.0801,12,1,1
I_88,Isen,48.1563,12.1255,16,0.06,0.13
I_89,Isen,48.145,12.0884,1,0,0
I_92,Isen,48.138,12.0415,3,0.29,0
I_93,Isen,48.1645,12.1428,1,0.63,0
T_A,Tubingen,48.5115,9.0309,12,0.22,0.08
T_B1,Tubingen,48.5113,9.0166,18,0.95,1
T_B2,Tubingen,48.5097,9.0177,35,0.97,1
T_C,Tubingen,48.5166,9.0094,18,0.81,0.83
T_D,Tubingen,48.5145,8.9802,10,0.12,0.2
T_G,Tubingen,48.5085,8.9564,8,0.04,0
T_H,Tubingen,48.5442,8.9357,5,0,0
T_O2,Tubingen,48.5537,8.9384,10,0,0
V_1,Veluwe,52.3613,5.9285,27,0.04,0.04
V_3,Veluwe,52.3186,5.8733,5,0.99,0.8
V_4,Veluwe,52.2914,5.8818,21,0.97,1
V_5,Veluwe,52.2384,5.8765,29,1,1
V_7,Veluwe,52.3678,5.8304,24,0.71,0.92
V_9,Veluwe,52.3027,5.8176,3,0.83,1
V_10,Veluwe,52.239,5.7876,13,0.34,0
V_10_2,Veluwe,52.239,5.7876,8,0.29,0
V_11,Veluwe,52.2742,5.7307,29,0.17,0.54
V_14,Veluwe,52.2997,5.6816,22,0.05,0
V_21,Veluwe,52.2262,5.9263,29,1,1
V_24,Veluwe,52.2974,5.9349,16,0.93,1
V_40,Veluwe,52.305,5.8188,3,0.93,0.67
